battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target;tankId;tankWN8;tankWNX;tankRole;tankWinrate;tankVehicleClass;tankNation;tankDpg;tankAssist;tankKpg;tankDmgRatio;tankSurvival;tankXp;tankHitratio;tankSpots;tankArmoreff;tankMoe;tankMastery;tankKd
8498;1420;1288;51,22;890;268;0,88;25,12;1,26;0,85;0,71;618;1,18;19;2;1;1393;1565;1451;null;53,33;MT;czech;838;284;0,73;1,11;26,67;679;66;0,67;0;0;3;1,00
8003;1336;1003;56,80;785;58;0,93;48,27;0,60;2,20;0,99;448;1,79;19;2;1;54545;1285;827;null;52,54;MT;germany;483;33;0,91;1,02;37,31;397;65;0,79;0;0;3;1,45
10064;218;164;44,37;255;125;0,31;23,10;0,67;1,29;0,20;252;0,40;19;1;0;3713;2031;1588;null;50,00;TD;sweden;961;37;1,50;2,53;50,00;573;100;0,50;0;0;1;3,00
36603;1502;1554;52,07;968;265;0,96;25,62;0,98;0,57;0,48;488;1,29;19;1;0;10017;1640;1637;null;55,23;MT;usa;750;336;0,94;1,02;18,46;502;68;1,41;0;2;4;1,15
77126;780;722;47,75;605;276;0,52;20,84;1,24;2,52;0,25;409;0,66;19;2;1;5393;1617;1198;null;52,48;LT;germany;471;294;0,58;0,91;17,81;433;60;2,16;0;1;4;0,70
21707;395;341;46,53;252;116;0,42;20,57;0,71;1,90;0,36;235;0,52;19;2;1;6945;537;493;null;46,48;TD;usa;319;127;0,47;0,86;19,51;253;38;0,74;0;1;4;0,59
6895;477;443;47,12;364;161;0,59;26,11;0,57;1,38;0,38;311;0,79;19;1;0;1;252;150;null;50,00;MT;ussr;162;104;0,32;0,42;24,76;203;40;0,64;0;0;2;0,42
134284;1441;1406;51,02;1072;384;0,93;31,55;1,07;1,09;0,76;518;1,35;19;2;1;49169;1913;1962;null;53,72;HT;germany;996;318;1,14;1,10;39,67;747;74;1,04;0;1;4;1,89
2339;604;552;46,00;525;234;0,43;16,59;1,05;0,50;0,20;492;0,51;19;1;0;5393;905;529;null;36,36;LT;germany;341;118;0,45;0,57;18,18;342;54;1,45;0;0;1;0,56
8478;2003;1745;57,64;648;292;1,26;42,03;1,89;1,29;1,04;635;2,17;19;1;0;8785;1900;1896;null;10,00;TD;uk;797;82;1,00;1,12;0,00;438;81;0,40;1;0;1;1,00
37656;828;801;46,76;891;274;0,65;31,97;0,40;1,10;0,49;532;0,96;19;1;0;50977;805;578;null;71,43;LT;usa;331;430;0,00;0,58;28,57;487;76;2,71;0;0;2;0,00
59528;721;687;46,73;676;350;0,51;27,05;1,00;0,51;0,43;387;0,71;19;2;1;11089;1201;1268;null;51,28;SPG;uk;553;92;0,80;2,15;41,78;291;40;0,07;0;1;4;1,37
37923;917;895;49,94;623;193;0,71;32,91;0,55;0,44;0,65;367;1,05;19;2;1;11553;1358;1314;null;48,95;TD;usa;827;133;0,86;1,75;34,60;431;54;0,35;0;1;2;1,32
12510;685;602;48,06;431;126;0,65;33,58;0,46;0,55;0,87;285;0,98;19;2;1;60241;670;684;null;25,00;MT;uk;451;203;0,25;0,63;25,00;424;74;0,50;0;0;1;0,33
33732;1911;1974;52,40;1468;436;0,95;21,95;1,38;0,38;0,52;704;1,22;19;2;1;54017;4655;5180;null;74,42;HT;ussr;1565;370;2,26;1,94;41,86;1488;75;2,35;1;1;4;3,88
17334;117;72;43,53;192;118;0,17;11,99;0,73;2,31;0,19;237;0,19;19;1;0;2577;277;177;null;44,97;MT;germany;213;113;0,23;0,35;14,14;214;61;0,71;0;0;4;0,26
2032;964;914;50,59;645;352;0,65;26,92;1,22;0,54;0,52;527;0,89;19;2;1;2561;1421;1127;null;63,64;MT;ussr;688;235;1,00;0,86;27,27;649;63;0,64;0;0;2;1,38
29576;198;142;44,30;203;109;0,27;19,02;0,47;1,13;0,29;216;0,34;19;2;1;37889;366;295;null;48,25;HT;ussr;276;139;0,33;0,37;16,78;305;23;0,55;0;0;2;0,39
3152;178;147;44,26;259;133;0,29;17,67;0,50;0,64;0,10;277;0,35;19;2;1;2897;273;89;null;61,29;HT;uk;175;109;0,19;0,21;12,90;267;36;0,58;0;0;1;0,22
8618;743;685;47,31;674;190;0,57;17,57;0,58;1,33;0,24;508;0,69;19;2;1;5633;191;288;null;32,50;SPG;ussr;344;78;0,33;1,68;32,50;260;27;0,03;0;0;1;0,48
10105;491;453;45,12;352;151;0,47;21,23;0,71;1,00;0,46;272;0,60;19;2;1;17985;451;418;null;51,28;LT;france;220;334;0,27;0,35;7,69;318;55;2,74;0;0;2;0,29
1092;417;334;44,05;384;146;0,41;26,10;0,57;0,90;0,17;385;0,56;19;2;1;2129;1051;728;null;63,64;LT;uk;355;344;0,50;0,52;36,36;524;73;1,14;0;0;1;0,79
1424;572;492;51,19;328;107;0,50;38,48;0,45;2,08;0,84;296;0,81;19;1;0;37889;344;300;null;44,44;HT;ussr;283;134;0,39;0,41;37,04;344;56;0,37;0;0;2;0,62
2651;1935;1958;53,64;1601;350;0,90;21,80;1,37;0,92;0,01;827;1,15;19;1;0;16417;1064;1140;null;50,00;SPG;usa;734;161;0,50;2,39;50,00;552;70;0,00;0;0;1;1,00
3560;1405;1366;50,11;1067;370;0,66;14,94;1,29;0,25;0,34;663;0,78;19;1;0;17985;416;399;null;25,00;LT;france;253;280;0,25;0,38;7,14;349;63;2,21;0;0;2;0,27
2252;201;156;42,81;373;222;0,25;17,45;0,42;0,97;0,11;441;0,30;19;1;0;7185;513;312;null;55,90;HT;germany;381;201;0,30;0,35;22,36;440;61;0,50;0;0;2;0,38
357;1300;1128;52,10;598;164;0,78;26,61;1,10;1,04;0,87;507;1,06;19;1;0;4161;688;434;null;69,23;SPG;france;323;14;1,23;2,89;61,54;362;15;0,00;0;0;2;3,20
282;894;716;50,71;486;119;0,65;32,27;0,49;1,39;0,28;442;0,96;19;1;0;3361;274;134;null;25,00;HT;usa;281;31;0,25;0,31;0,00;155;71;0,00;0;0;0;0,25
1330;891;873;45,94;768;249;0,59;21,20;0,97;0,61;0,25;564;0,75;19;1;0;51569;1352;1277;null;38,33;MT;czech;785;178;0,77;1,06;11,67;575;61;1,13;0;0;3;0,87
579;853;810;44,73;1101;243;0,47;17,44;0,83;0,59;0,01;604;0,57;19;1;0;11777;1048;973;null;40,91;HT;ussr;596;122;0,64;0,72;4,55;326;73;0,64;0;0;2;0,67
